category,course,lesson,txt_path,video_path,has_sd,has_ld,audio_path,youtube_vid,title,short_title
大学演讲,01 心灵的诺亚方舟,关于慈善的思考-演讲-第四届“国际公益慈善论坛”,大学演讲/01 心灵的诺亚方舟/关于慈善的思考-演讲-第四届“国际公益慈善论坛”.html,,0.0,0.0,大学演讲/01 心灵的诺亚方舟/关于慈善的思考-演讲-第四届“国际公益慈善论坛”.m4a,,第四届“国际公益慈善论坛”,演讲：关于慈善的思考
大学演讲,01 心灵的诺亚方舟,放生利众勤修佛法-开示-河北万佛禅寺,大学演讲/01 心灵的诺亚方舟/放生利众勤修佛法-开示-河北万佛禅寺.html,,0.0,0.0,大学演讲/01 心灵的诺亚方舟/放生利众勤修佛法-开示-河北万佛禅寺.m4a,yCksDEs_HpA,河北万佛禅寺,开示：放生利众勤修佛法
大学演讲,01 心灵的诺亚方舟,真正的“财富”-开示-北京万人放生,大学演讲/01 心灵的诺亚方舟/真正的“财富”-开示-北京万人放生.html,,0.0,0.0,大学演讲/01 心灵的诺亚方舟/真正的“财富”-开示-北京万人放生.m4a,7MEMfNV5MNk,北京万人放生,开示：真正的“财富”
大学演讲,01 心灵的诺亚方舟,藏文化的修心养生观-演讲-清华大学,大学演讲/01 心灵的诺亚方舟/藏文化的修心养生观-演讲-清华大学.html,,0.0,0.0,大学演讲/01 心灵的诺亚方舟/藏文化的修心养生观-演讲-清华大学.m4a,UtDhMdJICRY,清华大学,演讲：藏文化的修心养生观
大学演讲,01 心灵的诺亚方舟,藏文化的修心养生观-问答-清华大学,大学演讲/01 心灵的诺亚方舟/藏文化的修心养生观-问答-清华大学.html,,0.0,0.0,大学演讲/01 心灵的诺亚方舟/藏文化的修心养生观-问答-清华大学.m4a,wZaKPndzg9M,清华大学,问答
大学演讲,01 心灵的诺亚方舟,佛教空性观-演讲-北京大学,大学演讲/01 心灵的诺亚方舟/佛教空性观-演讲-北京大学.html,,0.0,0.0,大学演讲/01 心灵的诺亚方舟/佛教空性观-演讲-北京大学.m4a,Z91EEqlGjmk,北京大学,演讲：佛教空性观
大学演讲,01 心灵的诺亚方舟,佛教空性观-问答-北京大学,大学演讲/01 心灵的诺亚方舟/佛教空性观-问答-北京大学.html,,0.0,0.0,大学演讲/01 心灵的诺亚方舟/佛教空性观-问答-北京大学.m4a,fkpKVFg6FSo,北京大学,问答
大学演讲,01 心灵的诺亚方舟,信仰与人生-演讲-北京大学,大学演讲/01 心灵的诺亚方舟/信仰与人生-演讲-北京大学.html,,0.0,0.0,大学演讲/01 心灵的诺亚方舟/信仰与人生-演讲-北京大学.m4a,uo78aPrnpv8,北京大学,演讲：信仰与人生
大学演讲,01 心灵的诺亚方舟,信仰与人生-问答-北京大学,大学演讲/01 心灵的诺亚方舟/信仰与人生-问答-北京大学.html,,0.0,0.0,大学演讲/01 心灵的诺亚方舟/信仰与人生-问答-北京大学.m4a,6HJP1BrQSZE,北京大学,问答
社会演讲,01 美国 微软谷歌波音-佛教哲学与现代企业管理,佛教哲学与现代企业管理-演讲-美国微软谷歌波音,,,0.0,0.0,社会演讲/01 美国 微软谷歌波音-佛教哲学与现代企业管理/佛教哲学与现代企业管理-演讲-美国微软谷歌波音.m4a,rkb46748o00,佛教哲学与现代企业管理,演讲
